Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-09,Bottle Gourd,26,30,33,31,43,1kg
2022-01-09,Butter Beans,41,47,52,49,68,1kg
2022-01-09,Broad Beans,60,69,76,72,99,1kg
2022-01-09,Cabbage,42,48,53,50,69,1kg
2022-01-09,Carrot,71,82,90,85,117,1kg
2022-01-09,Cauliflower,43,49,55,52,71,1kg
2022-01-09,Cluster beans,40,46,51,48,66,1kg
2022-01-09,Coconut,35,40,44,42,58,1kg
2022-01-09,Colocasia Leaves,14,16,18,17,23,1kg
2022-01-09,Colocasia,27,31,34,32,45,1kg
2022-01-09,Coriander Leaves,9,10,11,11,15,1kg
2022-01-09,Corn,36,41,46,43,59,1kg
2022-01-09,Cucumber,23,26,29,28,38,1kg
2022-01-09,Curry Leaves,42,48,53,50,69,1kg
2022-01-09,Dill Leaves,13,15,17,16,21,1kg
2022-01-09,Drumsticks,246,283,312,295,406,1kg
2022-01-09,Brinjal,50,58,64,60,83,1kg
2022-01-09,Brinjal,96,110,122,115,158,1kg
2022-01-09,Elephant Yam,24,28,30,29,40,1kg
2022-01-09,Fenugreek Leaves,15,17,19,18,25,1kg
2022-01-09,French Beans,34,39,43,41,56,1kg
2022-01-09,Garlic,75,86,95,90,124,1kg
2022-01-09,Ginger,47,54,60,56,78,1kg
2022-01-09,Onion Green,39,45,50,47,64,1kg
2022-01-09,Green Peas,53,61,67,64,87,1kg
2022-01-09,Ivy Gourd,35,40,44,42,58,1kg
2022-01-09,Lemon,44,51,56,53,73,1kg
2022-01-09,Mango Raw,82,94,104,98,135,1kg
2022-01-09,Mint Leaves,6,7,8,7,10,1kg
2022-01-09,Mushroom,88,101,112,106,145,1kg
2022-01-09,Mustard Leaves,17,20,22,20,28,1kg
2022-01-09,Ladies Finger,54,62,69,65,89,1kg
2022-01-09,Pumpkin,22,25,28,26,36,1kg
2022-01-09,Radish,36,41,46,43,59,1kg
2022-01-09,Ridge Gourd,39,45,50,47,64,1kg
2022-01-09,Shallot,30,35,38,36,50,1kg
2022-01-09,Snake Gourd,34,39,43,41,56,1kg
2022-01-09,Sorrel Leaves,11,13,14,13,18,1kg
2022-01-09,Spinach,11,13,14,13,18,1kg
2022-01-09,Sweet Potato,45,52,57,54,74,1kg
2022-01-10,Onion Big,36,41,46,43,59,1kg
2022-01-10,Onion Small,61,70,77,73,101,1kg
2022-01-10,Tomato,45,52,57,54,74,1kg
2022-01-10,Green Chilli,85,98,108,102,140,1kg
2022-01-10,Beetroot,67,77,85,80,111,1kg
2022-01-10,Potato,20,23,25,24,33,1kg
2022-01-10,Raw Banana,4,5,5,5,7,1kg
